,Product ID,Product,Category,Warehouse ID,Quantity,Minimum_Qty,City
0,1423,Titak watch,Fashion,4,163,400,Cork
1,3378,Sports Wear,Fashion,2,202,300,Cork
2,7393,Speakers,Electronic,4,148,200,Galway
3,6028,Tablet,Electronic,3,230,400,Dublin
4,3717,Car & Bike Care,Auto & Accessories,2,205,200,Cork
5,5988,Car Pillow & Neck Rest,Auto & Accessories,2,131,400,Dublin
6,8506,Mixer/Juicer,Electronic,4,205,400,Cork
7,8601,Formal Shoes,Fashion,3,110,300,Belfast
8,6558,Car Speakers,Auto & Accessories,1,291,200,Cork
9,8989,Jeans,Fashion,4,127,300,Belfast
10,1423,Titak watch,Fashion,5,192,200,Galway
11,3677,Car Seat Covers,Auto & Accessories,3,103,200,Cork
12,2687,Dinner Crockery,Home & Furniture,1,122,400,Cork
13,5260,T - Shirts,Fashion,4,209,300,Galway
14,6010,Shoe Rack,Home & Furniture,1,281,400,Cork
15,6715,LCD,Electronic,4,286,200,Limerick
16,1423,Titak watch,Fashion,2,295,400,Cork
17,2512,Umbrellas,Home & Furniture,5,164,400,Belfast
18,3378,Sports Wear,Fashion,2,106,300,Cork
19,3423,Dinning Tables,Home & Furniture,5,115,400,Dublin
20,3378,Sports Wear,Fashion,4,129,200,Belfast
21,3717,Car & Bike Care,Auto & Accessories,2,184,200,Galway
22,3632,Watch,Electronic,4,223,200,Cork
23,6010,Shoe Rack,Home & Furniture,4,249,300,Limerick
24,2512,Umbrellas,Home & Furniture,4,173,200,Cork
25,6715,LCD,Electronic,2,126,300,Dublin
26,5988,Car Pillow & Neck Rest,Auto & Accessories,5,115,200,Cork
27,2687,Dinner Crockery,Home & Furniture,4,122,200,Cork
28,4049,Apple Laptop,Electronic,2,199,200,Belfast
29,6715,LCD,Electronic,3,142,400,Cork
30,7393,Speakers,Electronic,4,126,300,Dublin
31,1339,Sofa Covers,Home & Furniture,1,283,400,Cork
32,3378,Sports Wear,Fashion,4,232,200,Cork
33,2807,Fans,Electronic,1,216,400,Galway
34,7663,Beds,Home & Furniture,4,112,400,Dublin
35,1423,Titak watch,Fashion,3,161,300,Belfast
36,6383,LED,Electronic,1,133,300,Dublin
37,6028,Tablet,Electronic,5,170,300,Dublin
38,3425,Bike Tyres,Auto & Accessories,1,120,400,Cork
39,3815,Samsung Mobile,Electronic,4,269,300,Cork
40,3557,Sneakers,Fashion,5,123,200,Belfast
41,8601,Formal Shoes,Fashion,4,227,200,Cork
42,8989,Jeans,Fashion,3,170,400,Cork
43,2970,Mouse,Electronic,1,205,300,Cork
44,5988,Car Pillow & Neck Rest,Auto & Accessories,1,100,200,Belfast
45,3378,Sports Wear,Fashion,1,143,200,Limerick
46,3632,Watch,Electronic,2,196,400,Dublin
47,6718,Casula Shoes,Fashion,4,108,400,Dublin
48,3632,Watch,Electronic,5,102,300,Belfast
49,8292,Tyre,Auto & Accessories,4,143,300,Cork
50,1423,Titak watch,Fashion,4,99,300,Cork
51,3425,Bike Tyres,Auto & Accessories,1,160,300,Limerick
52,6718,Casula Shoes,Fashion,5,272,400,Dublin
53,5260,T - Shirts,Fashion,1,198,200,Limerick
54,7393,Speakers,Electronic,3,273,300,Belfast
55,4716,Bed Sheets,Home & Furniture,1,226,200,Galway
56,6718,Casula Shoes,Fashion,3,220,300,Galway
57,4716,Bed Sheets,Home & Furniture,5,108,400,Belfast
58,7255,Fossil Watch,Fashion,3,136,400,Belfast
59,4049,Apple Laptop,Electronic,3,276,400,Cork
60,4399,Suits,Fashion,2,162,300,Dublin
61,3423,Dinning Tables,Home & Furniture,5,109,400,Belfast
62,8349,Keyboard,Electronic,1,179,300,Cork
63,2690,Running Shoes,Fashion,1,283,400,Dublin
64,5644,Car Body Covers,Auto & Accessories,5,105,400,Dublin
65,3378,Sports Wear,Fashion,5,260,300,Dublin
66,6010,Shoe Rack,Home & Furniture,2,194,200,Galway
67,3677,Car Seat Covers,Auto & Accessories,5,282,200,Cork
68,3423,Dinning Tables,Home & Furniture,1,140,200,Cork
69,4381,Curtains,Home & Furniture,5,158,200,Belfast
70,7393,Speakers,Electronic,2,113,400,Limerick
71,3632,Watch,Electronic,2,283,200,Dublin
72,2807,Fans,Electronic,5,227,400,Dublin
73,7393,Speakers,Electronic,4,135,400,Belfast
74,7663,Beds,Home & Furniture,1,186,200,Limerick
75,2386,Car Media Players,Auto & Accessories,1,164,400,Limerick
76,3425,Bike Tyres,Auto & Accessories,4,108,300,Dublin
77,3815,Samsung Mobile,Electronic,1,152,300,Galway
78,1988,Sofas,Home & Furniture,5,271,200,Dublin
79,6277,Car Mat,Auto & Accessories,3,217,200,Limerick
80,7663,Beds,Home & Furniture,2,113,400,Dublin
81,2690,Running Shoes,Fashion,2,172,400,Dublin
82,6718,Casula Shoes,Fashion,5,230,400,Cork
83,2687,Dinner Crockery,Home & Furniture,4,130,200,Galway
84,8989,Jeans,Fashion,3,247,200,Limerick
85,3423,Dinning Tables,Home & Furniture,5,131,400,Dublin
86,7663,Beds,Home & Furniture,4,273,400,Limerick
87,3557,Sneakers,Fashion,2,114,200,Cork
88,5260,T - Shirts,Fashion,3,275,400,Galway
89,5988,Car Pillow & Neck Rest,Auto & Accessories,4,199,300,Belfast
90,8989,Jeans,Fashion,2,244,300,Dublin
91,6277,Car Mat,Auto & Accessories,4,255,200,Dublin
92,2687,Dinner Crockery,Home & Furniture,4,283,200,Belfast
93,2690,Running Shoes,Fashion,5,194,200,Cork
94,7393,Speakers,Electronic,3,221,400,Cork
95,1339,Sofa Covers,Home & Furniture,4,124,200,Belfast
96,6558,Car Speakers,Auto & Accessories,4,241,300,Belfast
97,4381,Curtains,Home & Furniture,4,193,400,Limerick
98,4049,Apple Laptop,Electronic,5,125,200,Galway
99,6558,Car Speakers,Auto & Accessories,4,279,200,Galway
100,3557,Sneakers,Fashion,3,180,300,Dublin
101,3350,Shirts,Fashion,5,252,400,Cork
102,6277,Car Mat,Auto & Accessories,1,246,200,Dublin
103,6558,Car Speakers,Auto & Accessories,2,148,300,Dublin
104,6715,LCD,Electronic,2,138,300,Galway
105,6556,Iron,Electronic,5,179,200,Galway
106,3350,Shirts,Fashion,1,237,300,Belfast
107,4716,Bed Sheets,Home & Furniture,1,176,300,Galway
108,6010,Shoe Rack,Home & Furniture,3,288,400,Cork
109,1423,Titak watch,Fashion,4,177,300,Limerick
110,6556,Iron,Electronic,5,130,300,Belfast
111,3717,Car & Bike Care,Auto & Accessories,2,110,200,Limerick
112,4288,Towels,Home & Furniture,2,294,300,Belfast
113,8506,Mixer/Juicer,Electronic,3,294,400,Limerick
114,4288,Towels,Home & Furniture,2,164,400,Cork
115,8506,Mixer/Juicer,Electronic,2,172,400,Cork
116,4381,Curtains,Home & Furniture,3,218,400,Dublin
117,4399,Suits,Fashion,5,239,200,Cork
118,6715,LCD,Electronic,5,140,200,Dublin
119,2690,Running Shoes,Fashion,3,239,200,Galway
120,2386,Car Media Players,Auto & Accessories,4,137,300,Cork
121,7255,Fossil Watch,Fashion,2,285,200,Galway
122,6558,Car Speakers,Auto & Accessories,5,180,200,Limerick
123,2807,Fans,Electronic,4,253,200,Cork
124,5260,T - Shirts,Fashion,1,179,400,Belfast
125,1988,Sofas,Home & Furniture,2,100,300,Dublin
126,3350,Shirts,Fashion,3,195,200,Dublin
127,6277,Car Mat,Auto & Accessories,1,163,400,Cork
128,4381,Curtains,Home & Furniture,2,165,300,Belfast
129,2807,Fans,Electronic,3,176,400,Dublin
130,1988,Sofas,Home & Furniture,2,179,400,Galway
131,2970,Mouse,Electronic,1,253,200,Cork
132,3423,Dinning Tables,Home & Furniture,2,195,300,Cork
133,6556,Iron,Electronic,2,188,400,Belfast
134,2807,Fans,Electronic,3,288,400,Cork
135,2690,Running Shoes,Fashion,3,220,400,Limerick
136,3677,Car Seat Covers,Auto & Accessories,2,111,400,Dublin
137,5260,T - Shirts,Fashion,1,208,200,Limerick
138,2807,Fans,Electronic,1,243,400,Belfast
139,2386,Car Media Players,Auto & Accessories,1,175,300,Cork
140,4399,Suits,Fashion,2,119,200,Galway
141,8989,Jeans,Fashion,2,280,400,Dublin
142,5644,Car Body Covers,Auto & Accessories,3,196,400,Belfast
143,8989,Jeans,Fashion,2,279,200,Dublin
144,8989,Jeans,Fashion,3,253,300,Belfast
145,3350,Shirts,Fashion,5,186,400,Limerick
146,8989,Jeans,Fashion,1,172,300,Dublin
147,3423,Dinning Tables,Home & Furniture,1,178,300,Dublin
148,3350,Shirts,Fashion,1,183,300,Dublin
149,1339,Sofa Covers,Home & Furniture,3,189,400,Galway
150,6277,Car Mat,Auto & Accessories,2,278,200,Galway
151,6383,LED,Electronic,2,153,300,Dublin
152,2386,Car Media Players,Auto & Accessories,4,128,300,Dublin
153,3815,Samsung Mobile,Electronic,1,131,200,Cork
154,6718,Casula Shoes,Fashion,1,228,400,Belfast
155,6028,Tablet,Electronic,4,221,200,Dublin
156,3423,Dinning Tables,Home & Furniture,5,188,400,Galway
157,2690,Running Shoes,Fashion,2,195,300,Belfast
158,8349,Keyboard,Electronic,3,281,400,Galway
159,3423,Dinning Tables,Home & Furniture,2,143,400,Cork
160,3815,Samsung Mobile,Electronic,4,156,300,Galway
161,4049,Apple Laptop,Electronic,2,245,200,Dublin
162,6383,LED,Electronic,4,119,200,Cork
163,4049,Apple Laptop,Electronic,2,277,400,Belfast
164,3632,Watch,Electronic,1,126,400,Cork
165,2386,Car Media Players,Auto & Accessories,5,265,300,Dublin
166,3557,Sneakers,Fashion,3,189,300,Cork
167,3717,Car & Bike Care,Auto & Accessories,3,249,300,Limerick
168,3557,Sneakers,Fashion,1,198,400,Galway
169,6383,LED,Electronic,2,153,400,Limerick
170,6383,LED,Electronic,3,285,400,Dublin
171,6718,Casula Shoes,Fashion,5,150,400,Galway
172,4288,Towels,Home & Furniture,2,187,300,Belfast
173,6715,LCD,Electronic,1,217,300,Dublin
174,1423,Titak watch,Fashion,1,233,200,Limerick
175,8601,Formal Shoes,Fashion,5,285,400,Dublin
176,6010,Shoe Rack,Home & Furniture,5,111,200,Galway
177,1339,Sofa Covers,Home & Furniture,2,282,200,Dublin
178,5988,Car Pillow & Neck Rest,Auto & Accessories,1,182,300,Cork
179,4716,Bed Sheets,Home & Furniture,1,233,200,Limerick
180,6558,Car Speakers,Auto & Accessories,5,190,300,Dublin
181,7663,Beds,Home & Furniture,3,157,300,Limerick
182,6558,Car Speakers,Auto & Accessories,1,223,300,Limerick
183,3815,Samsung Mobile,Electronic,1,129,200,Limerick
184,3423,Dinning Tables,Home & Furniture,1,211,400,Cork
185,3350,Shirts,Fashion,4,145,200,Belfast
186,4381,Curtains,Home & Furniture,1,138,300,Belfast
187,3378,Sports Wear,Fashion,4,123,400,Cork
188,4381,Curtains,Home & Furniture,3,100,400,Limerick
189,8601,Formal Shoes,Fashion,3,209,400,Limerick
190,5988,Car Pillow & Neck Rest,Auto & Accessories,5,147,300,Limerick
191,6558,Car Speakers,Auto & Accessories,3,146,400,Dublin
192,1423,Titak watch,Fashion,2,107,300,Galway
193,5988,Car Pillow & Neck Rest,Auto & Accessories,1,300,200,Cork
194,5260,T - Shirts,Fashion,3,217,400,Galway
195,4716,Bed Sheets,Home & Furniture,4,202,300,Dublin
196,2687,Dinner Crockery,Home & Furniture,5,298,200,Limerick
197,8506,Mixer/Juicer,Electronic,4,198,300,Cork
198,8989,Jeans,Fashion,2,187,300,Dublin
199,6556,Iron,Electronic,1,260,400,Belfast
200,6277,Car Mat,Auto & Accessories,1,168,200,Cork
201,4049,Apple Laptop,Electronic,5,193,400,Limerick
202,3557,Sneakers,Fashion,2,154,200,Belfast
203,3632,Watch,Electronic,5,253,300,Limerick
204,3378,Sports Wear,Fashion,1,285,300,Galway
205,2687,Dinner Crockery,Home & Furniture,4,160,200,Limerick
206,1423,Titak watch,Fashion,5,220,300,Galway
207,3815,Samsung Mobile,Electronic,4,122,400,Cork
208,2807,Fans,Electronic,1,146,400,Limerick
209,8601,Formal Shoes,Fashion,3,255,400,Limerick
210,2690,Running Shoes,Fashion,4,231,300,Cork
211,8349,Keyboard,Electronic,1,146,300,Limerick
212,4381,Curtains,Home & Furniture,2,165,400,Galway
213,2687,Dinner Crockery,Home & Furniture,3,220,300,Limerick
214,2512,Umbrellas,Home & Furniture,1,109,300,Limerick
215,8989,Jeans,Fashion,4,226,400,Dublin
216,8989,Jeans,Fashion,2,287,200,Limerick
217,3677,Car Seat Covers,Auto & Accessories,4,253,200,Cork
218,2512,Umbrellas,Home & Furniture,5,99,200,Cork
219,6028,Tablet,Electronic,1,230,300,Limerick
220,2970,Mouse,Electronic,3,159,200,Dublin
221,3423,Dinning Tables,Home & Furniture,5,139,300,Galway
222,6277,Car Mat,Auto & Accessories,4,151,200,Dublin
223,6718,Casula Shoes,Fashion,5,285,300,Limerick
224,5260,T - Shirts,Fashion,2,215,400,Dublin
225,1339,Sofa Covers,Home & Furniture,2,103,300,Dublin
